,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,from_club_path,final_club_path,final_team,from_pais,to_pais,final_country,path_country
7322,Aarón Navarro,https://www.transfermarkt.com/aaron-navarro/profil/spieler/278611,2015-07-01,AS Puma,UCR,"May 29, 1987 ",33.0,Costa RicaNo current national team players,-,-,Right Midfield,"AS Puma,UCR,Pérez Zeledón,ADR Jicaral","UCR,Pérez Zeledón,ADR Jicaral,Guastatoya",Guastatoya,Costa Rica,Costa Rica,Guatemala,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7317,Aarón Navarro,https://www.transfermarkt.com/aaron-navarro/profil/spieler/278611,2016-07-01,UCR,Pérez Zeledón,"May 29, 1987 ",33.0,Costa RicaNo current national team players,-,-,Right Midfield,"AS Puma,UCR,Pérez Zeledón,ADR Jicaral","UCR,Pérez Zeledón,ADR Jicaral,Guastatoya",Guastatoya,Costa Rica,Costa Rica,Guatemala,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7315,Aarón Navarro,https://www.transfermarkt.com/aaron-navarro/profil/spieler/278611,2017-01-01,Pérez Zeledón,ADR Jicaral,"May 29, 1987 ",33.0,Costa RicaNo current national team players,-,-,Right Midfield,"AS Puma,UCR,Pérez Zeledón,ADR Jicaral","UCR,Pérez Zeledón,ADR Jicaral,Guastatoya",Guastatoya,Costa Rica,Costa Rica,Guatemala,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7327,Aarón Navarro,https://www.transfermarkt.com/aaron-navarro/profil/spieler/278611,2017-07-01,ADR Jicaral,Guastatoya,"May 29, 1987 ",33.0,Costa RicaNo current national team players,-,-,Right Midfield,"AS Puma,UCR,Pérez Zeledón,ADR Jicaral","UCR,Pérez Zeledón,ADR Jicaral,Guastatoya",Guastatoya,Costa Rica,Guatemala,Guatemala,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
163,Aarón Salazar,https://www.transfermarkt.com/aaron-salazar/profil/spieler/481107,2018-01-01,Herediano U20,AD San Carlos,"May 15, 1999 ",21.0,Costa RicaCurrent national team players,-,€250Th.,Centre-Back,"Herediano U20,AD San Carlos,Herediano U20","AD San Carlos,Herediano U20,Herediano",Herediano,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
175,Aarón Salazar,https://www.transfermarkt.com/aaron-salazar/profil/spieler/481107,2019-07-31,AD San Carlos,Herediano U20,"May 15, 1999 ",21.0,Costa RicaCurrent national team players,-,€250Th.,Centre-Back,"Herediano U20,AD San Carlos,Herediano U20","AD San Carlos,Herediano U20,Herediano",Herediano,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
88,Aarón Salazar,https://www.transfermarkt.com/aaron-salazar/profil/spieler/481107,2019-08-01,Herediano U20,Herediano,"May 15, 1999 ",21.0,Costa RicaCurrent national team players,-,€250Th.,Centre-Back,"Herediano U20,AD San Carlos,Herediano U20","AD San Carlos,Herediano U20,Herediano",Herediano,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica"
7110,Aarón Solórzano,https://www.transfermarkt.com/aaron-solorzano/profil/spieler/626302,2018-07-01,Unknown,PZ U20,"Nov 25, 1996 ",23.0,No national team players,-,-,Defender,"Unknown,PZ U20","PZ U20,Curridabat FC",Curridabat FC,Unknown,Costa Rica,Costa Rica,"Unknown,Costa Rica"
7124,Aarón Solórzano,https://www.transfermarkt.com/aaron-solorzano/profil/spieler/626302,2019-01-01,PZ U20,Curridabat FC,"Nov 25, 1996 ",23.0,No national team players,-,-,Defender,"Unknown,PZ U20","PZ U20,Curridabat FC",Curridabat FC,Costa Rica,Costa Rica,Costa Rica,"Unknown,Costa Rica"
2245,Aarón Suárez,https://www.transfermarkt.com/aaron-suarez/profil/spieler/739616,2020-07-01,Alajuelense U20,LD Alajuelense,"Jun 27, 2002 ",18.0,No national team players,-,€50Th.,Forward,Alajuelense U20,LD Alajuelense,LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,Costa Rica
6312,Abdúl Vásquez,https://www.transfermarkt.com/abdul-vasquez/profil/spieler/349811,2015-01-01,Santos II,Santos FC,"Oct 24, 1994 ",25.0,No national team players,-,-,Goalkeeper,"Santos II,Santos FC","Santos FC,Cariari Pococí",Cariari Pococí,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica"
6336,Abdúl Vásquez,https://www.transfermarkt.com/abdul-vasquez/profil/spieler/349811,2015-07-01,Santos FC,Cariari Pococí,"Oct 24, 1994 ",25.0,No national team players,-,-,Goalkeeper,"Santos II,Santos FC","Santos FC,Cariari Pococí",Cariari Pococí,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica"
6966,Abraham Delgado,https://www.transfermarkt.com/abraham-delgado/profil/spieler/580231,2018-07-01,UCR II,UCR,"Mar 16, 1997 ",23.0,No national team players,-,-,Defender,"UCR II,UCR,Unknown","UCR,Unknown,Santa Ana",Santa Ana,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Unknown"
6926,Abraham Delgado,https://www.transfermarkt.com/abraham-delgado/profil/spieler/580231,2019-01-01,UCR,Unknown,"Mar 16, 1997 ",23.0,No national team players,-,-,Defender,"UCR II,UCR,Unknown","UCR,Unknown,Santa Ana",Santa Ana,Costa Rica,Unknown,Costa Rica,"Costa Rica,Costa Rica,Unknown"
6951,Abraham Delgado,https://www.transfermarkt.com/abraham-delgado/profil/spieler/580231,2019-07-01,Unknown,Santa Ana,"Mar 16, 1997 ",23.0,No national team players,-,-,Defender,"UCR II,UCR,Unknown","UCR,Unknown,Santa Ana",Santa Ana,Unknown,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Unknown"
2560,Aczel Salguero,https://www.transfermarkt.com/aczel-salguero/profil/spieler/380190,2017-01-01,Barrio México,AD Aserrí,"Dec 16, 1992 ",27.0,No national team players,-,-,Attacking Midfield,"Barrio México,AD Aserrí,Unknown","AD Aserrí,Unknown,Barrio México",Barrio México,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Unknown"
2427,Aczel Salguero,https://www.transfermarkt.com/aczel-salguero/profil/spieler/380190,2017-07-01,AD Aserrí,Unknown,"Dec 16, 1992 ",27.0,No national team players,-,-,Attacking Midfield,"Barrio México,AD Aserrí,Unknown","AD Aserrí,Unknown,Barrio México",Barrio México,Costa Rica,Unknown,Costa Rica,"Costa Rica,Costa Rica,Unknown"
2454,Aczel Salguero,https://www.transfermarkt.com/aczel-salguero/profil/spieler/380190,2019-07-01,Unknown,Barrio México,"Dec 16, 1992 ",27.0,No national team players,-,-,Attacking Midfield,"Barrio México,AD Aserrí,Unknown","AD Aserrí,Unknown,Barrio México",Barrio México,Unknown,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Unknown"
1879,Adolfo Rojas,https://www.transfermarkt.com/adolfo-rojas/profil/spieler/665861,1996-07-01,Mpl. Puntarenas,Mpl Turrialba,,,Costa RicaNo current national team players,4,-,Defender,"Mpl. Puntarenas,Mpl Turrialba,AD Carmelita","Mpl Turrialba,AD Carmelita,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica"
419,Adolfo Rojas,https://www.transfermarkt.com/adolfo-rojas/profil/spieler/665861,1997-01-01,Mpl Turrialba,AD Carmelita,,,Costa RicaNo current national team players,4,-,Defender,"Mpl. Puntarenas,Mpl Turrialba,AD Carmelita","Mpl Turrialba,AD Carmelita,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica"
612,Adolfo Rojas,https://www.transfermarkt.com/adolfo-rojas/profil/spieler/665861,1997-07-01,AD Carmelita,Unknown,,,Costa RicaNo current national team players,4,-,Defender,"Mpl. Puntarenas,Mpl Turrialba,AD Carmelita","Mpl Turrialba,AD Carmelita,Unknown",Unknown,Costa Rica,Unknown,Unknown,"Costa Rica,Costa Rica,Costa Rica"
2236,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,2017-01-01,Alajuelense U20,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"Alajuelense U20,LD Alajuelense,Grecia,LD Alajuelense,Sp. San José","LD Alajuelense,Grecia,LD Alajuelense,Sp. San José,LD Alajuelense",LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2276,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,2019-01-06,LD Alajuelense,Grecia,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"Alajuelense U20,LD Alajuelense,Grecia,LD Alajuelense,Sp. San José","LD Alajuelense,Grecia,LD Alajuelense,Sp. San José,LD Alajuelense",LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2257,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,2019-06-30,Grecia,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"Alajuelense U20,LD Alajuelense,Grecia,LD Alajuelense,Sp. San José","LD Alajuelense,Grecia,LD Alajuelense,Sp. San José,LD Alajuelense",LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2341,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,2020-07-13,LD Alajuelense,Sp. San José,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"Alajuelense U20,LD Alajuelense,Grecia,LD Alajuelense,Sp. San José","LD Alajuelense,Grecia,LD Alajuelense,Sp. San José,LD Alajuelense",LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2262,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,2021-06-30,Sp. San José,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,"Alajuelense U20,LD Alajuelense,Grecia,LD Alajuelense,Sp. San José","LD Alajuelense,Grecia,LD Alajuelense,Sp. San José,LD Alajuelense",LD Alajuelense,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7237,Adrián Camareno,https://www.transfermarkt.com/adrian-camareno/profil/spieler/406654,2016-07-01,Mpl. Liberia II,Liberia,"Nov 17, 1997 ",22.0,No national team players,-,€50Th.,Midfielder,"Mpl. Liberia II,Liberia","Liberia,Mpl. Liberia II",Mpl. Liberia II,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica"
7241,Adrián Camareno,https://www.transfermarkt.com/adrian-camareno/profil/spieler/406654,2017-07-01,Liberia,Mpl. Liberia II,"Nov 17, 1997 ",22.0,No national team players,-,€50Th.,Midfielder,"Mpl. Liberia II,Liberia","Liberia,Mpl. Liberia II",Mpl. Liberia II,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica"
315,Adrián Chévez,https://www.transfermarkt.com/adrian-chevez/profil/spieler/481110,2017-01-01,Gen. Saprissa,Saprissa,"Feb 27, 1998 ",22.0,No national team players,-,€100Th.,Centre-Back,"Gen. Saprissa,Saprissa,Liberia,Saprissa","Saprissa,Liberia,Saprissa,Grecia",Grecia,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
309,Adrián Chévez,https://www.transfermarkt.com/adrian-chevez/profil/spieler/481110,2018-02-01,Saprissa,Liberia,"Feb 27, 1998 ",22.0,No national team players,-,€100Th.,Centre-Back,"Gen. Saprissa,Saprissa,Liberia,Saprissa","Saprissa,Liberia,Saprissa,Grecia",Grecia,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
319,Adrián Chévez,https://www.transfermarkt.com/adrian-chevez/profil/spieler/481110,2018-06-30,Liberia,Saprissa,"Feb 27, 1998 ",22.0,No national team players,-,€100Th.,Centre-Back,"Gen. Saprissa,Saprissa,Liberia,Saprissa","Saprissa,Liberia,Saprissa,Grecia",Grecia,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
237,Adrián Chévez,https://www.transfermarkt.com/adrian-chevez/profil/spieler/481110,2019-01-01,Saprissa,Grecia,"Feb 27, 1998 ",22.0,No national team players,-,€100Th.,Centre-Back,"Gen. Saprissa,Saprissa,Liberia,Saprissa","Saprissa,Liberia,Saprissa,Grecia",Grecia,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2016,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2009-07-01,Cartaginés,Orión FC,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
1805,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2010-07-01,Orión FC,Jacó Rays,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
2029,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2012-01-01,Jacó Rays,Orión FC,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
399,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2012-07-01,Orión FC,AD Carmelita,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
1246,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2015-07-01,AD Carmelita,Cartaginés,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
409,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2016-01-06,Cartaginés,AD Carmelita,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
1247,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2016-06-30,AD Carmelita,Cartaginés,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
410,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2017-01-01,Cartaginés,AD Carmelita,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
1986,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2018-01-01,AD Carmelita,Turrialba,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
1107,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2018-07-01,Turrialba,ADR Jicaral,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
874,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,2019-07-01,ADR Jicaral,Unknown,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,"Cartaginés,Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral","Orión FC,Jacó Rays,Orión FC,AD Carmelita,Cartaginés,AD Carmelita,Cartaginés,AD Carmelita,Turrialba,ADR Jicaral,Unknown",Unknown,Costa Rica,Unknown,Unknown,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7336,Adrián Mora,https://www.transfermarkt.com/adrian-mora/profil/spieler/131256,2011-07-01,Alajuelense U20,NM Lobos,"Feb 4, 1992 ",28.0,No national team players,-,-,Defender,Alajuelense U20,NM Lobos,NM Lobos,Costa Rica,USA,USA,Costa Rica
