,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
34,Anthony López,https://www.transfermarkt.com/anthony-lopez/profil/spieler/461081,"Jan 1, 2019",Alajuelense U20,LD Alajuelense,"Jan 19, 1996 ",24.0,No national team players,-,€200Th.,Attacking Midfield,Costa Rica,Costa Rica
35,Adonis Pineda,https://www.transfermarkt.com/adonis-pineda/profil/spieler/401552,"Jan 1, 2017",Alajuelense U20,LD Alajuelense,"Apr 2, 1997 ",23.0,Costa RicaNo current national team players,-,€200Th.,Goalkeeper,Costa Rica,Costa Rica
36,Harry Rojas,https://www.transfermarkt.com/harry-rojas/profil/spieler/353502,"Jan 16, 2015",Alajuelense U20,LD Alajuelense,"Dec 20, 1996 ",23.0,Costa RicaCurrent national team players,-,€175Th.,Centre-Forward,Costa Rica,Costa Rica
37,Kenneth Cerdas,https://www.transfermarkt.com/kenneth-cerdas/profil/spieler/278349,"Jan 16, 2015",Alajuelense U20,LD Alajuelense,"Dec 29, 1995 ",24.0,Costa RicaCurrent national team players,-,€150Th.,Attacking Midfield,Costa Rica,Costa Rica
38,Yurguin Román,https://www.transfermarkt.com/yurguin-roman/profil/spieler/392455,"Jul 1, 2018",Alajuelense U20,LD Alajuelense,"Jan 19, 1997 ",23.0,No national team players,-,€125Th.,Left-Back,Costa Rica,Costa Rica
39,Yurguin Román,https://www.transfermarkt.com/yurguin-roman/profil/spieler/392455,"Jul 3, 2020",Alajuelense U20,LD Alajuelense,"Jan 19, 1997 ",23.0,No national team players,-,€125Th.,Left-Back,Costa Rica,Costa Rica
40,Esteban Marín,https://www.transfermarkt.com/esteban-marin/profil/spieler/419381,"Jul 1, 2016",Alajuelense U20,LD Alajuelense,"Mar 31, 1996 ",24.0,No national team players,-,€75Th.,Centre-Back,Costa Rica,Costa Rica
41,Bryan Jiménez,https://www.transfermarkt.com/bryan-jimenez/profil/spieler/481109,"Jan 1, 2017",Alajuelense U20,LD Alajuelense,"May 29, 1996 ",24.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
42,Darío Alfaro,https://www.transfermarkt.com/dario-alfaro/profil/spieler/477801,"Jan 1, 2017",Alajuelense U20,LD Alajuelense,"Feb 25, 1997 ",23.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
43,Barlon Sequeira,https://www.transfermarkt.com/barlon-sequeira/profil/spieler/401442,"Jul 3, 2017",Alajuelense U20,LD Alajuelense,"May 25, 1998 ",22.0,Costa RicaNo current national team players,1,€200Th.,Left Midfield,Costa Rica,Costa Rica
44,Orlando Galo,https://www.transfermarkt.com/orlando-galo/profil/spieler/549756,"Jan 1, 2018",Alajuelense U20,LD Alajuelense,"Aug 11, 2000 ",20.0,Costa RicaCurrent national team players,-,€200Th.,Right-Back,Costa Rica,Costa Rica
45,Alonso Martínez,https://www.transfermarkt.com/alonso-martinez/profil/spieler/479870,"Jul 1, 2018",Alajuelense U20,LD Alajuelense,"Oct 15, 1998 ",21.0,No national team players,-,€175Th.,Centre-Forward,Costa Rica,Costa Rica
46,Daniel Villegas,https://www.transfermarkt.com/daniel-villegas/profil/spieler/401447,"Jul 1, 2018",Alajuelense U20,LD Alajuelense,"Jan 6, 1998 ",22.0,Costa RicaNo current national team players,-,€100Th.,Left Midfield,Costa Rica,Costa Rica
47,Diego Mesén,https://www.transfermarkt.com/diego-mesen/profil/spieler/401436,"Jul 3, 2017",Alajuelense U20,LD Alajuelense,"Mar 28, 1999 ",21.0,No national team players,-,€50Th.,Centre-Back,Costa Rica,Costa Rica
48,Josué Abarca,https://www.transfermarkt.com/josue-abarca/profil/spieler/378519,"Jul 1, 2019",Alajuelense U20,LD Alajuelense,"Jan 4, 2000 ",20.0,No national team players,-,€50Th.,Left Midfield,Costa Rica,Costa Rica
49,Johnny Álvarez,https://www.transfermarkt.com/johnny-alvarez/profil/spieler/662999,"Jul 1, 2019",Alajuelense U20,LD Alajuelense,"Mar 17, 2000 ",20.0,No national team players,-,€50Th.,Goalkeeper,Costa Rica,Costa Rica
50,Elian Morales,https://www.transfermarkt.com/elian-morales/profil/spieler/649914,"Jul 1, 2019",Alajuelense U20,LD Alajuelense,"May 29, 2000 ",20.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
51,Jurguens Montenegro,https://www.transfermarkt.com/jurguens-montenegro/profil/spieler/549758,"Jan 1, 2018",Alajuelense U20,LD Alajuelense,"Dec 13, 2000 ",19.0,Costa RicaCurrent national team players,-,€200Th.,Centre-Forward,Costa Rica,Costa Rica
52,Brandon Aguilera,https://www.transfermarkt.com/brandon-aguilera/profil/spieler/631996,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"Jun 28, 2003 ",17.0,No national team players,-,€75Th.,Right Midfield,Costa Rica,Costa Rica
53,Geancarlo Castro,https://www.transfermarkt.com/geancarlo-castro/profil/spieler/647943,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"Feb 12, 2002 ",18.0,No national team players,-,€50Th.,Right Midfield,Costa Rica,Costa Rica
54,Paulo Santamaría,https://www.transfermarkt.com/paulo-santamaria/profil/spieler/647945,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"May 24, 2001 ",19.0,No national team players,-,€50Th.,Attacking Midfield,Costa Rica,Costa Rica
55,Aarón Suárez,https://www.transfermarkt.com/aaron-suarez/profil/spieler/739616,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"Jun 27, 2002 ",18.0,No national team players,-,€50Th.,Forward,Costa Rica,Costa Rica
56,Ian Lawrence,https://www.transfermarkt.com/ian-lawrence/profil/spieler/782887,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"May 28, 2002 ",18.0,No national team players,-,€50Th.,Left-Back,Costa Rica,Costa Rica
57,Carlos Mora,https://www.transfermarkt.com/carlos-mora/profil/spieler/740789,"Jul 1, 2020",Alajuelense U20,LD Alajuelense,"Mar 18, 2001 ",19.0,No national team players,-,€50Th.,Right Winger,Costa Rica,Costa Rica
58,Diego Madrigal,https://www.transfermarkt.com/diego-madrigal/profil/spieler/128528,"Jan 1, 2016",Belén FC,LD Alajuelense,"Mar 19, 1989 ",31.0,Costa RicaNo current national team players,11,€175Th.,Left Midfield,Costa Rica,Costa Rica
59,Jonathan Moya,https://www.transfermarkt.com/jonathan-moya/profil/spieler/131257,"Jul 1, 2018",Saprissa,LD Alajuelense,"Jan 6, 1992 ",28.0,Costa RicaNo current national team players,9,€300Th.,Centre-Forward,Costa Rica,Costa Rica
60,Armando Alonso,https://www.transfermarkt.com/armando-alonso/profil/spieler/80934,"Jan 1, 2012",Saprissa,LD Alajuelense,"Mar 21, 1984 ",36.0,Costa RicaNo current national team players,23,-,Centre-Forward,Costa Rica,Costa Rica
61,Víctor Núnez,https://www.transfermarkt.com/victor-nunez/profil/spieler/39633,"Jul 1, 2003",Saprissa,LD Alajuelense,"Apr 15, 1980 ",40.0,Costa RicaNo current national team players,27,-,Centre-Forward,Costa Rica,Costa Rica
62,Jonathan Bolaños,https://www.transfermarkt.com/jonathan-bolanos/profil/spieler/222268,"Jul 1, 2002",Saprissa,LD Alajuelense,"Apr 22, 1978 ",42.0,Costa RicaNo current national team players,2,-,Midfielder,Costa Rica,Costa Rica
63,Víctor Badilla,https://www.transfermarkt.com/victor-badilla/profil/spieler/478057,"Jul 1, 1991",Saprissa,LD Alajuelense,"Jul 2, 1966 ",54.0,Costa RicaNo current national team players,9,-,Midfielder,Costa Rica,Costa Rica
64,Steven Bryce,https://www.transfermarkt.com/steven-bryce/profil/spieler/34704,"Jul 1, 1999",Saprissa,LD Alajuelense,"Aug 16, 1977 ",43.0,Costa RicaNo current national team players,73,-,Midfielder,Costa Rica,Costa Rica
65,Alex Sánchez,https://www.transfermarkt.com/alex-sanchez/profil/spieler/589264,"Jul 1, 1960",Saprissa,LD Alajuelense,"Jul 20, 1930 ",90.0,Costa RicaNo current national team players,32,-,Left-Back,Costa Rica,Costa Rica
66,Marvin Rodríguez,https://www.transfermarkt.com/marvin-rodriguez/profil/spieler/589240,"Jan 1, 1960",Saprissa,LD Alajuelense,"Nov 26, 1934",,Costa RicaNo current national team players,-,-,Midfielder,Costa Rica,Costa Rica
67,Wálter Elizondo,https://www.transfermarkt.com/walter-elizondo/profil/spieler/634814,"Jan 1, 1970",Saprissa,LD Alajuelense,"Nov 4, 1942",,Costa RicaNo current national team players,38,-,Centre-Back,Costa Rica,Costa Rica
68,Ariel Soto,https://www.transfermarkt.com/ariel-soto/profil/spieler/131264,"Jan 1, 2012",Orión FC,LD Alajuelense,"May 14, 1992 ",28.0,Costa RicaNo current national team players,-,€225Th.,Centre-Back,Costa Rica,Costa Rica
69,Wálter Chévez,https://www.transfermarkt.com/walter-chevez/profil/spieler/121683,"Jan 1, 2012",Orión FC,LD Alajuelense,"May 6, 1986 ",34.0,No national team players,-,€125Th.,Left Midfield,Costa Rica,Costa Rica
70,Francisco Rodríguez,https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368,"Jun 30, 2017",UCR,LD Alajuelense,"Feb 8, 1993 ",27.0,Costa RicaNo current national team players,1,€325Th.,Centre-Forward,Costa Rica,Costa Rica
71,Jake Beckford,https://www.transfermarkt.com/jake-beckford/profil/spieler/240127,"Jun 30, 2019",UCR,LD Alajuelense,"Jul 31, 1994 ",26.0,No national team players,-,€125Th.,Central Midfield,Costa Rica,Costa Rica
72,Seemore Johnson,https://www.transfermarkt.com/seemore-johnson/profil/spieler/234483,"Jul 1, 2017",UCR,LD Alajuelense,"Oct 29, 1991 ",28.0,No national team players,-,€150Th.,Centre-Back,Costa Rica,Costa Rica
73,Mauricio Montero,https://www.transfermarkt.com/mauricio-montero/profil/spieler/194924,"Jul 1, 2016",UCR,LD Alajuelense,"Mar 28, 1987 ",33.0,Costa RicaNo current national team players,-,€200Th.,Defensive Midfield,Costa Rica,Costa Rica
74,Daniel Arce,https://www.transfermarkt.com/daniel-arce/profil/spieler/195530,"Jul 1, 2009",UCR,LD Alajuelense,"Feb 17, 1986 ",34.0,No national team players,-,€100Th.,Centre-Back,Costa Rica,Costa Rica
75,Jonathan Sibaja,https://www.transfermarkt.com/jonathan-sibaja/profil/spieler/278159,"Jul 1, 2016",UCR,LD Alajuelense,"Feb 12, 1987 ",33.0,Costa RicaNo current national team players,-,€75Th.,Right Midfield,Costa Rica,Costa Rica
76,Leslie Ramos,https://www.transfermarkt.com/leslie-ramos/profil/spieler/111901,"Jun 30, 2009",UCR,LD Alajuelense,"Jan 25, 1988 ",32.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
77,Alfonso Quesada,https://www.transfermarkt.com/alfonso-quesada/profil/spieler/141308,"Jul 1, 2009",UCR,LD Alajuelense,"Mar 15, 1988 ",32.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
78,Patrick Pemberton,https://www.transfermarkt.com/patrick-pemberton/profil/spieler/102376,"Jun 30, 2003",UCR,LD Alajuelense,"Apr 24, 1982 ",38.0,Costa RicaNo current national team players,38,€150Th.,Goalkeeper,Costa Rica,Costa Rica
79,Mínor Díaz,https://www.transfermarkt.com/minor-diaz/profil/spieler/79562,"Jul 1, 2011",UCR,LD Alajuelense,"Dec 26, 1980 ",39.0,Costa RicaNo current national team players,6,-,Centre-Forward,Costa Rica,Costa Rica
80,Alejandro Alpízar,https://www.transfermarkt.com/alejandro-alpizar/profil/spieler/80950,"Jun 30, 2001",UCR,LD Alajuelense,"Jun 14, 1979 ",41.0,Costa RicaNo current national team players,15,-,Centre-Forward,Costa Rica,Costa Rica
81,Francisco Rodríguez,https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368,"Dec 31, 2014",AD Carmelita,LD Alajuelense,"Feb 8, 1993 ",27.0,Costa RicaNo current national team players,1,€325Th.,Centre-Forward,Costa Rica,Costa Rica
82,Luis Sequeira,https://www.transfermarkt.com/luis-sequeira/profil/spieler/278158,"Jun 30, 2016",AD Carmelita,LD Alajuelense,"May 11, 1994 ",26.0,Costa RicaNo current national team players,-,€150Th.,Right-Back,Costa Rica,Costa Rica
83,Alejandro Aguilar,https://www.transfermarkt.com/alejandro-aguilar/profil/spieler/193923,"Jun 30, 2013",AD Carmelita,LD Alajuelense,"Oct 10, 1990 ",29.0,Costa RicaNo current national team players,1,€175Th.,Centre-Forward,Costa Rica,Costa Rica
84,Alejandro Aguilar,https://www.transfermarkt.com/alejandro-aguilar/profil/spieler/193923,"Jul 18, 2016",AD Carmelita,LD Alajuelense,"Oct 10, 1990 ",29.0,Costa RicaNo current national team players,1,€175Th.,Centre-Forward,Costa Rica,Costa Rica
85,Mauricio Vargas,https://www.transfermarkt.com/mauricio-vargas/profil/spieler/131266,"Dec 31, 2016",AD Carmelita,LD Alajuelense,"Aug 10, 1992 ",28.0,Costa RicaNo current national team players,-,€125Th.,Goalkeeper,Costa Rica,Costa Rica
86,Guillermo Arias,https://www.transfermarkt.com/guillermo-arias/profil/spieler/216456,"Jun 30, 2013",AD Carmelita,LD Alajuelense,"Sep 20, 1990 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
87,Patrick Pemberton,https://www.transfermarkt.com/patrick-pemberton/profil/spieler/102376,"Jun 30, 2005",AD Carmelita,LD Alajuelense,"Apr 24, 1982 ",38.0,Costa RicaNo current national team players,38,€150Th.,Goalkeeper,Costa Rica,Costa Rica
88,Kenny Cunningham,https://www.transfermarkt.com/kenny-cunningham/profil/spieler/195463,"Jul 1, 2007",AD Carmelita,LD Alajuelense,"Jun 7, 1985 ",35.0,Costa RicaNo current national team players,14,€125Th.,Centre-Forward,Costa Rica,Costa Rica
89,Mauricio Mora,https://www.transfermarkt.com/mauricio-mora/profil/spieler/285677,"Jan 1, 2009",AD Carmelita,LD Alajuelense,"May 13, 1985 ",35.0,No national team players,-,€100Th.,Left-Back,Costa Rica,Costa Rica
90,Johnny Woodly,https://www.transfermarkt.com/johnny-woodly/profil/spieler/143783,"Jul 1, 2016",AD Carmelita,LD Alajuelense,"Jul 27, 1980 ",40.0,Costa RicaNo current national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
91,Rónald Gómez,https://www.transfermarkt.com/ronald-gomez/profil/spieler/35372,"Jul 1, 1994",AD Carmelita,LD Alajuelense,"Jan 24, 1975 ",45.0,Costa RicaNo current national team players,91,-,Centre-Forward,Costa Rica,Costa Rica
92,Luis Marín,https://www.transfermarkt.com/luis-marin/profil/spieler/35375,"Jun 30, 1993",AD Carmelita,LD Alajuelense,"Aug 10, 1974 ",46.0,Costa RicaNo current national team players,126,-,Centre-Back,Costa Rica,Costa Rica
93,Rodrigo Cordero,https://www.transfermarkt.com/rodrigo-cordero/profil/spieler/38227,"Jul 1, 1996",AD Carmelita,LD Alajuelense,"Dec 4, 1973 ",46.0,Costa RicaNo current national team players,32,-,Defensive Midfield,Costa Rica,Costa Rica
94,Wilmer López,https://www.transfermarkt.com/wilmer-lopez/profil/spieler/106622,"Jul 1, 1993",AD Carmelita,LD Alajuelense,"Mar 8, 1971 ",49.0,Costa RicaNo current national team players,75,-,Attacking Midfield,Costa Rica,Costa Rica
95,Carlos Castro,https://www.transfermarkt.com/carlos-castro/profil/spieler/15855,"Jul 1, 1998",AD Carmelita,LD Alajuelense,"Sep 10, 1978 ",41.0,Costa RicaNo current national team players,48,-,Left-Back,Costa Rica,Costa Rica
96,Bernald Alfaro,https://www.transfermarkt.com/bernald-alfaro/profil/spieler/372731,"Jul 1, 2019",AD Carmelita,LD Alajuelense,"Jan 26, 1997 ",23.0,Costa RicaCurrent national team players,1,€250Th.,Defensive Midfield,Costa Rica,Costa Rica
97,Esteban Marín,https://www.transfermarkt.com/esteban-marin/profil/spieler/419381,"Dec 31, 2017",AD Carmelita,LD Alajuelense,"Mar 31, 1996 ",24.0,No national team players,-,€75Th.,Centre-Back,Costa Rica,Costa Rica
98,Jhamir Ordain,https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284,"Jul 1, 2019",Herediano,LD Alajuelense,"Jul 29, 1993 ",27.0,Costa RicaNo current national team players,2,€225Th.,Right-Back,Costa Rica,Costa Rica
99,José Miguel Cubero,https://www.transfermarkt.com/jose-miguel-cubero/profil/spieler/122680,"Jan 1, 2018",Herediano,LD Alajuelense,"Feb 14, 1987 ",33.0,Costa RicaNo current national team players,54,€175Th.,Defensive Midfield,Costa Rica,Costa Rica
100,José Miguel Cubero,https://www.transfermarkt.com/jose-miguel-cubero/profil/spieler/122680,"Jan 1, 2019",Herediano,LD Alajuelense,"Feb 14, 1987 ",33.0,Costa RicaNo current national team players,54,€175Th.,Defensive Midfield,Costa Rica,Costa Rica
101,José Luis Cordero,https://www.transfermarkt.com/jose-luis-cordero/profil/spieler/111957,"Jan 1, 2017",Herediano,LD Alajuelense,"Jan 31, 1987 ",33.0,Costa RicaNo current national team players,-,€175Th.,Left Midfield,Costa Rica,Costa Rica
102,Júnior Díaz,https://www.transfermarkt.com/junior-diaz/profil/spieler/35383,"Jul 1, 2019",Herediano,LD Alajuelense,"Sep 12, 1983 ",36.0,Costa RicaNo current national team players,80,€100Th.,Centre-Back,Costa Rica,Costa Rica
103,Iván García,https://www.transfermarkt.com/ivan-garcia/profil/spieler/38235,"Jul 1, 2011",Herediano,LD Alajuelense,"Jan 30, 1984 ",36.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
104,Mínor Díaz,https://www.transfermarkt.com/minor-diaz/profil/spieler/79562,"Jul 1, 2005",Herediano,LD Alajuelense,"Dec 26, 1980 ",39.0,Costa RicaNo current national team players,6,-,Centre-Forward,Costa Rica,Costa Rica
105,José Alexis Rojas,https://www.transfermarkt.com/jose-alexis-rojas/profil/spieler/388890,"Jul 1, 1990",Herediano,LD Alajuelense,"Apr 30, 1965 ",55.0,Costa RicaNo current national team players,4,-,Goalkeeper,Costa Rica,Costa Rica
106,Christian Oviedo,https://www.transfermarkt.com/christian-oviedo/profil/spieler/35376,"Jul 1, 2005",Herediano,LD Alajuelense,"Aug 25, 1978 ",42.0,Costa RicaNo current national team players,11,-,Defensive Midfield,Costa Rica,Costa Rica
107,Kenneth Paniagua,https://www.transfermarkt.com/kenneth-paniagua/profil/spieler/660105,"Jul 1, 1998",Herediano,LD Alajuelense,"Jun 24, 1971 ",49.0,Costa RicaNo current national team players,20,-,Midfielder,Costa Rica,Costa Rica
108,Sandro Alfaro,https://www.transfermarkt.com/sandro-alfaro/profil/spieler/391111,"Jul 1, 1999",Herediano,LD Alajuelense,"Jan 1, 1971 ",49.0,Costa RicaNo current national team players,27,-,Left-Back,Costa Rica,Costa Rica
109,Jossimar Pemberton,https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072,"Dec 31, 2016",Santos FC,LD Alajuelense,"Apr 21, 1993 ",27.0,No national team players,-,€225Th.,Right Midfield,Costa Rica,Costa Rica
110,Kenneth Dixon,https://www.transfermarkt.com/kenneth-dixon/profil/spieler/214815,"Jul 1, 2015",Santos FC,LD Alajuelense,"Nov 1, 1993 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
