Player;selector1-href;Date;From club;To club;Date of birth;Age;National player;International matches;Market value;Posición
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jul 1, 2017;LD Alajuelense;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jul 11, 2017;Herediano;Diriangén FC;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Dec 31, 2017;Diriangén FC;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jan 6, 2018;Herediano;UCR;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jun 30, 2018;UCR;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jul 10, 2018;Herediano;Santos FC;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Aug 21, 2018;Santos FC;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Aug 22, 2018;Herediano;UCR;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jun 30, 2019;UCR;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Jan 4, 2020;Herediano;Deportes Tolima;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Francisco Rodríguez;https://www.transfermarkt.com/francisco-rodriguez/profil/spieler/278368;Dec 31, 2020;Deportes Tolima;Herediano;Feb 8, 1993 ;27;Costa RicaNo current national team players;1;325;Centre-Forward
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jul 1, 2011;Saprissa U17;Gen. Saprissa;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jan 1, 2014;Gen. Saprissa;Saprissa;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jul 1, 2014;Saprissa;CS Uruguay;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jun 30, 2015;CS Uruguay;Saprissa;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Aug 5, 2016;Saprissa;Tondela;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Sep 7, 2017;Tondela;Cartaginés;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jul 1, 2018;Cartaginés;LD Alajuelense;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jul 12, 2018;LD Alajuelense;CSM Poli Iași;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Feb 21, 2019;CSM Poli Iași;Sepsi OSK;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Dylan Flores;https://www.transfermarkt.com/dylan-flores/profil/spieler/131250;Jan 24, 2020;Sepsi OSK;LD Alajuelense;May 30, 1993 ;27;Costa RicaCurrent national team players;4;325;Attacking Midfield
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jan 1, 2011;Limón U20;Limón FC;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jul 26, 2014;Limón FC;OFI Crete;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jun 30, 2015;OFI Crete;Limón FC;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jul 15, 2015;Limón FC;Hobro IK;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Aug 7, 2016;Hobro IK;Randers FC;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Aug 31, 2017;Randers FC;Lyngby BK;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jun 30, 2018;Lyngby BK;Randers FC;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jul 1, 2018;Randers FC;FC Midtjylland;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Aug 3, 2019;FC Midtjylland;Vålerenga;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Dec 31, 2019;Vålerenga;FC Midtjylland;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jan 14, 2020;FC Midtjylland;Honvéd;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Jun 30, 2020;Honvéd;FC Midtjylland;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Aug 25, 2020;FC Midtjylland;Kalmar FF;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Mayron George;https://www.transfermarkt.com/mayron-george/profil/spieler/195162;Dec 31, 2020;Kalmar FF;FC Midtjylland;Oct 23, 1993 ;26;Costa RicaNo current national team players;13;300;Centre-Forward
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Jan 1, 2010;Saprissa U17;Saprissa II;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Jul 1, 2010;Saprissa II;Grecia;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Jun 30, 2011;Grecia;Saprissa II;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Jan 1, 2012;Saprissa II;Saprissa;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Mar 2, 2016;Saprissa;SK Brann;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Deyver Vega;https://www.transfermarkt.com/deyver-vega/profil/spieler/131267;Jan 17, 2019;SK Brann;Vålerenga;Sep 19, 1992 ;27;Costa RicaNo current national team players;11;300;Right Winger
Darryl Parker;https://www.transfermarkt.com/darryl-parker/profil/spieler/278832;Jan 1, 2014;CS Uruguay II;CS Uruguay;Mar 7, 1993 ;27;Costa RicaNo current national team players;-;250;Goalkeeper
Darryl Parker;https://www.transfermarkt.com/darryl-parker/profil/spieler/278832;Jan 1, 2016;CS Uruguay;Saprissa;Mar 7, 1993 ;27;Costa RicaNo current national team players;-;250;Goalkeeper
Darryl Parker;https://www.transfermarkt.com/darryl-parker/profil/spieler/278832;Jan 12, 2016;Saprissa;Pérez Zeledón;Mar 7, 1993 ;27;Costa RicaNo current national team players;-;250;Goalkeeper
Darryl Parker;https://www.transfermarkt.com/darryl-parker/profil/spieler/278832;Dec 31, 2016;Pérez Zeledón;Saprissa;Mar 7, 1993 ;27;Costa RicaNo current national team players;-;250;Goalkeeper
Darryl Parker;https://www.transfermarkt.com/darryl-parker/profil/spieler/278832;Jul 1, 2018;Saprissa;Cartaginés;Mar 7, 1993 ;27;Costa RicaNo current national team players;-;250;Goalkeeper
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jul 1, 2012;Herediano U20;Herediano;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jul 1, 2014;Herediano;Belén FC;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Dec 31, 2014;Belén FC;Herediano;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jan 25, 2016;Herediano;Guria;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jun 30, 2016;Guria;Herediano;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jan 1, 2017;Herediano;Pérez Zeledón;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jun 30, 2018;Pérez Zeledón;Herediano;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jul 1, 2018;Herediano;Pérez Zeledón;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Mauricio Núnez;https://www.transfermarkt.com/mauricio-nunez/profil/spieler/234158;Jan 1, 2020;Pérez Zeledón;Herediano;Oct 28, 1993 ;26;Costa RicaCurrent national team players;-;250;Left-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jan 1, 2013;Santos II;Santos FC;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jul 1, 2014;Santos FC;Herediano;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Sep 2, 2015;Herediano;Belén FC;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jun 30, 2016;Belén FC;Herediano;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jul 1, 2019;Herediano;RCD España;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Dec 31, 2019;RCD España;Herediano;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jan 1, 2020;Herediano;Cartaginés;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jun 30, 2020;Cartaginés;Herediano;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Heyreel Saravia;https://www.transfermarkt.com/heyreel-saravia/profil/spieler/221976;Jul 1, 2020;Herediano;Cartaginés;Oct 6, 1992 ;27;Costa RicaNo current national team players;-;225;Centre-Back
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 1, 2013;Limón U20;Limón FC;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jan 12, 2016;Limón FC;LD Alajuelense;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 1, 2016;LD Alajuelense;Santos FC;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Dec 31, 2016;Santos FC;LD Alajuelense;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Feb 1, 2017;LD Alajuelense;Liberia;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jun 30, 2017;Liberia;LD Alajuelense;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 1, 2017;LD Alajuelense;Liberia;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 1, 2018;Liberia;Cartaginés;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 1, 2019;Cartaginés;Limón FC;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jan 1, 2020;Limón FC;AD San Carlos;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Jossimar Pemberton;https://www.transfermarkt.com/jossimar-pemberton/profil/spieler/290072;Jul 13, 2020;AD San Carlos;Guadalupe FC;Apr 21, 1993 ;27;No national team players;-;225;Right Midfield
Keysher Fuller;https://www.transfermarkt.com/keysher-fuller/profil/spieler/525122;Jul 1, 2016;Gen. Saprissa;CS Uruguay;Jul 12, 1994 ;26;Costa RicaNo current national team players;8;225;Right-Back
Keysher Fuller;https://www.transfermarkt.com/keysher-fuller/profil/spieler/525122;Jul 1, 2017;CS Uruguay;Grecia;Jul 12, 1994 ;26;Costa RicaNo current national team players;8;225;Right-Back
Keysher Fuller;https://www.transfermarkt.com/keysher-fuller/profil/spieler/525122;Jul 1, 2018;Grecia;Herediano;Jul 12, 1994 ;26;Costa RicaNo current national team players;8;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;May 1, 2015;VCU Rams;Timbers U-23;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Aug 1, 2015;Timbers U-23;VCU Rams;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Jan 14, 2016;VCU Rams;Colorado;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Apr 28, 2016;Colorado;Charlotte Ind.;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Dec 31, 2016;Charlotte Ind.;Colorado;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Mar 27, 2017;Colorado;Charlotte Ind.;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Dec 31, 2017;Charlotte Ind.;Colorado;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Dennis Castillo;https://www.transfermarkt.com/dennis-castillo/profil/spieler/417624;Jan 5, 2018;Colorado;Pérez Zeledón;Apr 30, 1993 ;27;No national team players;-;225;Right-Back
Christian Martínez;https://www.transfermarkt.com/christian-martinez/profil/spieler/374720;Jul 1, 2014;Unknown;Liberia;Apr 19, 1994 ;26;Costa RicaNo current national team players;-;225;Defensive Midfield
Christian Martínez;https://www.transfermarkt.com/christian-martinez/profil/spieler/374720;Jan 15, 2016;Liberia;Saprissa;Apr 19, 1994 ;26;Costa RicaNo current national team players;-;225;Defensive Midfield
Christian Martínez;https://www.transfermarkt.com/christian-martinez/profil/spieler/374720;Jan 14, 2019;Saprissa;AD San Carlos;Apr 19, 1994 ;26;Costa RicaNo current national team players;-;225;Defensive Midfield
Christian Martínez;https://www.transfermarkt.com/christian-martinez/profil/spieler/374720;Jun 30, 2019;AD San Carlos;Saprissa;Apr 19, 1994 ;26;Costa RicaNo current national team players;-;225;Defensive Midfield
Christian Martínez;https://www.transfermarkt.com/christian-martinez/profil/spieler/374720;Jul 1, 2019;Saprissa;AD San Carlos;Apr 19, 1994 ;26;Costa RicaNo current national team players;-;225;Defensive Midfield
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Jul 1, 2017;Santos FC;Herediano;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Sep 18, 2018;Herediano;Grecia;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Jun 30, 2019;Grecia;Herediano;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Jul 1, 2019;Herediano;LD Alajuelense;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Jan 8, 2020;LD Alajuelense;Pérez Zeledón;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Dec 31, 2020;Pérez Zeledón;LD Alajuelense;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Jhamir Ordain;https://www.transfermarkt.com/jhamir-ordain/profil/spieler/195284;Jan 1, 2021;LD Alajuelense;Pérez Zeledón;Jul 29, 1993 ;27;Costa RicaNo current national team players;2;225;Right-Back
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jul 1, 2014;Alajuelense U20;AD Carmelita;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jun 30, 2015;AD Carmelita;Alajuelense U20;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jul 1, 2015;Alajuelense U20;Grecia;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jan 1, 2016;Grecia;Belén FC;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jul 1, 2016;Belén FC;Grecia;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
Bayron Jiménez;https://www.transfermarkt.com/bayron-jimenez/profil/spieler/335189;Jul 13, 2020;Grecia;Liberia;Oct 9, 1993 ;26;No national team players;-;200;Defensive Midfield
John Jairo Ruiz;https://www.transfermarkt.com/john-jairo-ruiz/profil/spieler/192347;Jul 1, 2011;Saprissa U17;Saprissa;Jan 10, 1994 ;26;Costa RicaCurrent national team players;8;200;Left Winger
John Jairo Ruiz;https://www.transfermarkt.com/john-jairo-ruiz/profil/spieler/192347;Jan 20, 2012;Saprissa;LOSC Lille;Jan 10, 1994 ;26;Costa RicaCurrent national team players;8;200;Left Winger
John Jairo Ruiz;https://www.transfermarkt.com/john-jairo-ruiz/profil/spieler/192347;Jul 18, 2012;LOSC Lille;Mouscron;Jan 10, 1994 ;26;Costa RicaCurrent national team players;8;200;Left Winger
John Jairo Ruiz;https://www.transfermarkt.com/john-jairo-ruiz/profil/spieler/192347;Jun 30, 2013;Mouscron;LOSC Lille;Jan 10, 1994 ;26;Costa RicaCurrent national team players;8;200;Left Winger
